FETCH, 2018-10-12 05:42:36, /freq/cal, jono_at_pl+gcal, 127.0.0.1, Google-Calendar-Importer
FETCH, 2018-10-12 05:43:29, /freq/cal, bassoonThunderbird, 127.0.0.1, Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Thunderbird/60.0 Lightning/6.2
FETCH, 2018-10-12 05:45:29, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 05:58:43, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 06:00:30, /freq/cal, jono+outlookcom, 127.0.0.1, Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)
FETCH, 2018-10-12 06:00:33, /freq/cal, jono+outlookcom, 127.0.0.1, Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)
FETCH, 2018-10-12 06:15:29, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 12:45:29, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 13:15:29, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 13:33:12, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 13:45:29, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 14:15:29, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 14:16:43, /freq/cal, bassoonThunderbird, 127.0.0.1, Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Thunderbird/60.0 Lightning/6.2
FETCH, 2018-10-12 14:45:29, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 15:15:29, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 15:16:43, /freq/cal, bassoonThunderbird, 127.0.0.1, Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Thunderbird/60.0 Lightning/6.2
FETCH, 2018-10-12 15:45:30, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 16:06:14, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 16:15:29, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 16:16:43, /freq/cal, bassoonThunderbird, 127.0.0.1, Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Thunderbird/60.0 Lightning/6.2
FETCH, 2018-10-12 16:23:00, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 16:28:21, /freq/cal, ellee+appleMail, 127.0.0.1, Slackbot-LinkExpanding 1.0 (+https://api.slack.com/robots)
FETCH, 2018-10-12 16:39:19, /freq/cal, ellee+appleMail, 127.0.0.1, Mac+OS+X/10.13.6 (17G65) Calendar/2195.4.3
FETCH, 2018-10-12 16:39:23, /freq/cal, ellee+appleMail, 127.0.0.1, Mac+OS+X/10.13.6 (17G65) CalendarAgent/399.2.2
FETCH, 2018-10-12 16:40:22, /freq/cal, ellee+iphone, 127.0.0.1, Slackbot-LinkExpanding 1.0 (+https://api.slack.com/robots)
FETCH, 2018-10-12 16:40:48, /freq/cal, ellee+iphone, 127.0.0.1, Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1
FETCH, 2018-10-12 16:40:50, /freq/cal, ellee+iphone, 127.0.0.1, Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1
FETCH, 2018-10-12 16:42:34, /freq/cal, ellee+iphone, 127.0.0.1, iOS/12.0 (16A366) accountsd/1.0
FETCH, 2018-10-12 16:42:48, /freq/cal, ellee+iphone, 127.0.0.1, iOS/12.0 (16A366) dataaccessd/1.0
FETCH, 2018-10-12 16:43:02, /freq/cal, ellee+iphone, 127.0.0.1, iOS/12.0 (16A366) dataaccessd/1.0
FETCH, 2018-10-12 16:45:29, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 16:56:22, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 17:04:36, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 17:09:36, /freq/cal, ellee+iphone, 127.0.0.1, iOS/12.0 (16A366) dataaccessd/1.0
FETCH, 2018-10-12 17:12:08, /freq/cal, ellee+iphone, 127.0.0.1, iOS/12.0 (16A366) dataaccessd/1.0
FETCH, 2018-10-12 17:15:29, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
FETCH, 2018-10-12 17:16:43, /freq/cal, bassoonThunderbird, 127.0.0.1, Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Thunderbird/60.0 Lightning/6.2
FETCH, 2018-10-12 17:19:45, /freq/cal, ellee+iphone, 127.0.0.1, iOS/12.0 (16A366) dataaccessd/1.0
FETCH, 2018-10-12 17:28:12, /freq/cal, ellee+iphone, 127.0.0.1, iOS/12.0 (16A366) dataaccessd/1.0
FETCH, 2018-10-12 17:45:29, /freq/cal, jono+bassoon+evolution, 127.0.0.1, Evolution/3.30.1
